,Year,all_dates_week_number,Total_holidays
387,2017,21,2
388,2017,22,2
389,2017,23,2
390,2017,24,2
391,2017,25,2
392,2017,26,3
393,2017,27,2
394,2017,28,2
395,2017,29,2
396,2017,30,2
397,2017,31,2
398,2017,32,2
399,2017,33,3
400,2017,34,2
401,2017,35,3
402,2017,36,2
403,2017,37,2
404,2017,38,2
405,2017,39,2
406,2017,40,3
407,2017,41,2
408,2017,42,3
409,2017,43,2
410,2017,44,2
411,2017,45,2
412,2017,46,2
413,2017,47,2
414,2017,48,3
415,2017,49,2
416,2017,50,2
417,2017,51,2
418,2017,52,4
419,2018,1,2
420,2018,2,2
421,2018,3,2
422,2018,4,3
423,2018,5,2
424,2018,6,2
425,2018,7,2
426,2018,8,2
427,2018,9,3
428,2018,10,2
429,2018,11,2
430,2018,12,2
431,2018,13,3
432,2018,14,2
433,2018,15,2
434,2018,16,2
435,2018,17,2
436,2018,18,3
437,2018,19,2
438,2018,20,2
439,2018,21,2
440,2018,22,2
441,2018,23,2
442,2018,24,3
443,2018,25,2
444,2018,26,2
445,2018,27,2
446,2018,28,2
447,2018,29,2
448,2018,30,2
449,2018,31,2
450,2018,32,2
451,2018,33,3
452,2018,34,4
453,2018,35,2
454,2018,36,2
455,2018,37,2
456,2018,38,3
457,2018,39,2
458,2018,40,3
459,2018,41,2
460,2018,42,2
461,2018,43,2
462,2018,44,2
463,2018,45,3
464,2018,46,2
465,2018,47,3
466,2018,48,2
467,2018,49,2
468,2018,50,2
469,2018,51,2
470,2018,52,3
471,2019,1,2
472,2019,2,2
473,2019,3,3
474,2019,4,2
475,2019,5,2
476,2019,6,2
477,2019,7,2
478,2019,8,2
479,2019,9,2
480,2019,10,2
481,2019,11,2
482,2019,12,3
483,2019,13,2
484,2019,14,2
485,2019,15,2
486,2019,16,3
487,2019,17,2
488,2019,18,3
489,2019,19,2
490,2019,20,2
491,2019,21,2
492,2019,22,2
493,2019,23,4
494,2019,24,2
495,2019,25,2
496,2019,26,2
497,2019,27,2
498,2019,28,2
499,2019,29,2
500,2019,30,2
501,2019,31,2
502,2019,32,2
503,2019,33,4
504,2019,34,2
505,2019,35,2
506,2019,36,2
507,2019,37,3
508,2019,38,2
509,2019,39,2
510,2019,40,3
511,2019,41,2
512,2019,42,2
513,2019,43,2
514,2019,44,2
515,2019,45,2
516,2019,46,2
517,2019,47,2
518,2019,48,2
519,2019,49,2
520,2019,50,2
521,2019,51,2
522,2019,52,3
523,2020,1,2
524,2020,2,2
525,2020,3,3
526,2020,4,2
527,2020,5,2
528,2020,6,2
529,2020,7,2
530,2020,8,2
531,2020,9,2
532,2020,10,2
533,2020,11,3
534,2020,12,2
535,2020,13,2
536,2020,14,2
537,2020,15,3
538,2020,16,2
539,2020,17,2
540,2020,18,3
541,2020,19,2
542,2020,20,2
543,2020,21,2
544,2020,22,3
545,2020,23,2
546,2020,24,2
547,2020,25,2
548,2020,26,2
549,2020,27,2
550,2020,28,2
551,2020,29,2
552,2020,30,2
553,2020,31,3
554,2020,32,2
555,2020,33,2
556,2020,34,2
557,2020,35,2
558,2020,36,2
559,2020,37,2
560,2020,38,2
561,2020,39,2
562,2020,40,3
563,2020,41,2
564,2020,42,2
565,2020,43,2
566,2020,44,3
567,2020,45,2
568,2020,46,2
569,2020,47,2
570,2020,48,2
571,2020,49,2
572,2020,50,2
573,2020,51,2
574,2020,52,3
575,2020,53,0
576,2021,1,2
577,2021,2,3
578,2021,3,2
579,2021,4,3
580,2021,5,2
581,2021,6,2
582,2021,7,2
583,2021,8,2
584,2021,9,2
585,2021,10,2
586,2021,11,2
587,2021,12,2
588,2021,13,4
589,2021,14,2
590,2021,15,2
591,2021,16,2
592,2021,17,2
593,2021,18,2
594,2021,19,4
595,2021,20,2
596,2021,21,2
597,2021,22,2
598,2021,23,2
599,2021,24,2
600,2021,25,2
601,2021,26,2
602,2021,27,2
603,2021,28,2
604,2021,29,4
605,2021,30,2
606,2021,31,2
607,2021,32,2
608,2021,33,3
609,2021,34,2
610,2021,35,2
611,2021,36,2
612,2021,37,2
613,2021,38,2
614,2021,39,2
615,2021,40,2
616,2021,41,2
617,2021,42,3
618,2021,43,2
619,2021,44,3
620,2021,45,2
621,2021,46,2
622,2021,47,2
623,2021,48,2
624,2021,49,2
625,2021,50,2
626,2021,51,2
627,2021,52,0
628,2021,53,2
